route_id,origin,destination,cargo_type,containers,recommended_ship,imo_number,speed,latitude,longitude,departure_port,arrival_port,origin_country,destination_country
205,Sydney,Valencia,Refrigerated Cargo,50,Sea Voyager,9300017,21.7,-33.8688,151.2093,Sydney,Valencia,Australia,Spain
206,Hong Kong,Valencia,Container,75,Golden Wave,9300026,13.4,22.3193,114.1694,Hong Kong,Valencia,Hong Kong,Spain
207,Durban,Singapore,General Cargo,5,Neptune Star,9300026,15.9,-29.8587,31.0218,Durban,Singapore,South Africa,Singapore
208,Jebel Ali,Tokyo,Refrigerated Cargo,50,Maritime Eagle,9300025,20.9,25.0657,55.1713,Jebel Ali,Tokyo,UAE,Japan
209,Mumbai,Chennai,Container,10,Atlantic Spirit,9300025,19.9,19.076,72.8777,Mumbai,Chennai,India,India
210,Los Angeles,Durban,Liquid Cargo,40,Neptune Star,9300019,21.3,33.7405,-118.2755,Los Angeles,Durban,USA,South Africa
211,Antwerp,New York,General Cargo,40,Cargo Express,9300019,18.6,51.2194,4.4025,Antwerp,New York,Belgium,USA
212,Chennai,Santos,Refrigerated Cargo,20,Global Trader,9300016,17.6,13.0827,80.2707,Chennai,Santos,India,Brazil
213,Busan,Jebel Ali,Bulk Cargo,10,Maritime Eagle,9300020,17.4,35.1796,129.0756,Busan,Jebel Ali,South Korea,UAE
214,Sydney,Busan,Refrigerated Cargo,15,Pacific Pearl,9300019,16.9,-33.8688,151.2093,Sydney,Busan,Australia,South Korea
215,Mumbai,Chennai,Bulk Cargo,10,Sea Voyager,9300017,13.2,19.076,72.8777,Mumbai,Chennai,India,India
216,Kolkata,Santos,Liquid Cargo,75,Ocean Star,9300017,19.6,22.5726,88.3639,Kolkata,Santos,India,Brazil
217,Busan,Chennai,General Cargo,40,Maritime Eagle,9300024,16.6,35.1796,129.0756,Busan,Chennai,South Korea,India
218,New York,Busan,Container,75,Atlantic Spirit,9300024,13.3,40.7128,-74.006,New York,Busan,USA,South Korea
219,Kolkata,Antwerp,Liquid Cargo,30,Global Trader,9300023,23.0,22.5726,88.3639,Kolkata,Antwerp,India,Belgium
220,Hong Kong,Chennai,Liquid Cargo,40,Pacific Pearl,9300015,19.5,22.3193,114.1694,Hong Kong,Chennai,Hong Kong,India
221,Durban,Valencia,General Cargo,25,Ocean Star,9300012,19.9,-29.8587,31.0218,Durban,Valencia,South Africa,Spain
222,Dubai,New York,General Cargo,30,Pacific Pearl,9300017,24.0,25.2048,55.2708,Dubai,New York,UAE,USA
223,Dubai,Kolkata,Container,10,Golden Wave,9300023,20.5,25.2048,55.2708,Dubai,Kolkata,UAE,India
224,Shanghai,Chennai,Refrigerated Cargo,40,Neptune Star,9300023,14.8,31.2304,121.4737,Shanghai,Chennai,China,India
225,Busan,Dubai,Liquid Cargo,30,Atlantic Spirit,9300021,16.1,35.1796,129.0756,Busan,Dubai,South Korea,UAE
226,Durban,Mumbai,General Cargo,100,Ocean Star,9300017,14.0,-29.8587,31.0218,Durban,Mumbai,South Africa,India
227,Mumbai,New York,Liquid Cargo,50,Cargo Express,9300025,20.6,19.076,72.8777,Mumbai,New York,India,USA
228,Colombo,Sydney,General Cargo,75,Pacific Pearl,9300023,14.8,6.9271,79.8612,Colombo,Sydney,Sri Lanka,Australia
229,Hong Kong,Colombo,Refrigerated Cargo,100,Sea Voyager,9300021,15.7,22.3193,114.1694,Hong Kong,Colombo,Hong Kong,Sri Lanka
230,Antwerp,New York,General Cargo,100,Ocean Star,9300011,14.9,51.2194,4.4025,Antwerp,New York,Belgium,USA
231,Shanghai,Hamburg,Bulk Cargo,15,Pacific Pearl,9300016,24.3,31.2304,121.4737,Shanghai,Hamburg,China,Germany
232,New York,Hong Kong,Container,40,Sea Voyager,9300014,12.1,40.7128,-74.006,New York,Hong Kong,USA,Hong Kong
233,Kolkata,Sydney,Liquid Cargo,75,Neptune Star,9300022,21.1,22.5726,88.3639,Kolkata,Sydney,India,Australia
234,Hong Kong,Mumbai,Refrigerated Cargo,5,Maritime Eagle,9300021,23.2,22.3193,114.1694,Hong Kong,Mumbai,Hong Kong,India
235,Shanghai,Jebel Ali,Refrigerated Cargo,100,Sea Voyager,9300017,23.2,31.2304,121.4737,Shanghai,Jebel Ali,China,UAE
236,Santos,Tokyo,General Cargo,40,Maritime Eagle,9300023,15.8,-23.9608,-46.3336,Santos,Tokyo,Brazil,Japan
237,Busan,Dubai,General Cargo,30,Golden Wave,9300027,18.0,35.1796,129.0756,Busan,Dubai,South Korea,UAE
238,Sydney,Chennai,Liquid Cargo,40,Global Trader,9300022,17.7,-33.8688,151.2093,Sydney,Chennai,Australia,India
239,Mumbai,Sydney,Bulk Cargo,20,Pacific Pearl,9300024,21.7,19.076,72.8777,Mumbai,Sydney,India,Australia
240,Dubai,Mumbai,Liquid Cargo,75,Neptune Star,9300019,20.2,25.2048,55.2708,Dubai,Mumbai,UAE,India
241,Rotterdam,Tokyo,Container,15,Atlantic Spirit,9300017,21.5,51.9244,4.4777,Rotterdam,Tokyo,Netherlands,Japan
242,Chennai,Dubai,Container,100,Pacific Pearl,9300017,14.6,13.0827,80.2707,Chennai,Dubai,India,UAE
243,Mumbai,Rotterdam,Liquid Cargo,100,Cargo Express,9300021,18.0,19.076,72.8777,Mumbai,Rotterdam,India,Netherlands
244,Colombo,Durban,Container,30,Golden Wave,9300024,16.2,6.9271,79.8612,Colombo,Durban,Sri Lanka,South Africa
245,Colombo,Mumbai,Bulk Cargo,25,Cargo Express,9300023,17.7,6.9271,79.8612,Colombo,Mumbai,Sri Lanka,India
246,Santos,Singapore,Refrigerated Cargo,25,Atlantic Spirit,9300022,18.6,-23.9608,-46.3336,Santos,Singapore,Brazil,Singapore
247,Colombo,Singapore,General Cargo,25,Ocean Star,9300018,16.8,6.9271,79.8612,Colombo,Singapore,Sri Lanka,Singapore
248,Mumbai,Valencia,General Cargo,75,Maritime Eagle,9300025,18.0,19.076,72.8777,Mumbai,Valencia,India,Spain
249,Colombo,Durban,Liquid Cargo,50,Global Trader,9300023,16.2,6.9271,79.8612,Colombo,Durban,Sri Lanka,South Africa
250,Kolkata,Singapore,General Cargo,30,Cargo Express,9300018,13.3,22.5726,88.3639,Kolkata,Singapore,India,Singapore
251,Antwerp,Dubai,Refrigerated Cargo,50,Ocean Star,9300012,15.2,51.2194,4.4025,Antwerp,Dubai,Belgium,UAE
252,Antwerp,Valencia,Bulk Cargo,30,Golden Wave,9300022,14.1,51.2194,4.4025,Antwerp,Valencia,Belgium,Spain
253,Tokyo,Colombo,Bulk Cargo,5,Atlantic Spirit,9300019,20.8,35.6762,139.6503,Tokyo,Colombo,Japan,Sri Lanka
254,Mumbai,Hong Kong,Bulk Cargo,40,Sea Voyager,9300016,19.3,19.076,72.8777,Mumbai,Hong Kong,India,Hong Kong
255,Los Angeles,Kolkata,Bulk Cargo,15,Atlantic Spirit,9300021,13.1,33.7405,-118.2755,Los Angeles,Kolkata,USA,India
256,New York,Sydney,Bulk Cargo,10,Blue Horizon,9300019,19.7,40.7128,-74.006,New York,Sydney,USA,Australia
257,Valencia,Tokyo,General Cargo,75,Atlantic Spirit,9300023,22.6,39.4699,-0.3763,Valencia,Tokyo,Spain,Japan
258,Sydney,Valencia,Container,25,Atlantic Spirit,9300024,12.2,-33.8688,151.2093,Sydney,Valencia,Australia,Spain
259,Rotterdam,Hong Kong,Container,15,Cargo Express,9300027,14.5,51.9244,4.4777,Rotterdam,Hong Kong,Netherlands,Hong Kong
260,Mumbai,Busan,Liquid Cargo,75,Sea Voyager,9300012,18.6,19.076,72.8777,Mumbai,Busan,India,South Korea
261,Singapore,Hong Kong,Container,40,Golden Wave,9300021,13.7,1.3521,103.8198,Singapore,Hong Kong,Singapore,Hong Kong
262,Dubai,Rotterdam,Refrigerated Cargo,15,Golden Wave,9300022,22.5,25.2048,55.2708,Dubai,Rotterdam,UAE,Netherlands
263,Singapore,Colombo,Refrigerated Cargo,20,Atlantic Spirit,9300019,20.8,1.3521,103.8198,Singapore,Colombo,Singapore,Sri Lanka
264,Durban,New York,Bulk Cargo,20,Cargo Express,9300022,15.0,-29.8587,31.0218,Durban,New York,South Africa,USA
265,Jebel Ali,Rotterdam,Refrigerated Cargo,100,Atlantic Spirit,9300021,20.8,25.0657,55.1713,Jebel Ali,Rotterdam,UAE,Netherlands
266,Colombo,New York,Container,40,Maritime Eagle,9300023,18.5,6.9271,79.8612,Colombo,New York,Sri Lanka,USA
267,Rotterdam,Kolkata,Bulk Cargo,50,Pacific Pearl,9300022,12.7,51.9244,4.4777,Rotterdam,Kolkata,Netherlands,India
268,Valencia,Chennai,General Cargo,25,Neptune Star,9300027,23.1,39.4699,-0.3763,Valencia,Chennai,Spain,India
269,Dubai,New York,Refrigerated Cargo,15,Cargo Express,9300027,23.8,25.2048,55.2708,Dubai,New York,UAE,USA
270,Mumbai,Los Angeles,Refrigerated Cargo,5,Cargo Express,9300018,23.5,19.076,72.8777,Mumbai,Los Angeles,India,USA
271,Singapore,Sydney,General Cargo,40,Neptune Star,9300020,16.9,1.3521,103.8198,Singapore,Sydney,Singapore,Australia
272,Hong Kong,Hamburg,Bulk Cargo,10,Ocean Star,9300013,16.1,22.3193,114.1694,Hong Kong,Hamburg,Hong Kong,Germany
273,Kolkata,Dubai,Container,50,Ocean Star,9300014,15.7,22.5726,88.3639,Kolkata,Dubai,India,UAE
274,Jebel Ali,Colombo,General Cargo,10,Golden Wave,9300024,12.1,25.0657,55.1713,Jebel Ali,Colombo,UAE,Sri Lanka
275,Los Angeles,Rotterdam,Liquid Cargo,100,Blue Horizon,9300018,19.1,33.7405,-118.2755,Los Angeles,Rotterdam,USA,Netherlands
276,Sydney,Chennai,General Cargo,10,Pacific Pearl,9300021,15.1,-33.8688,151.2093,Sydney,Chennai,Australia,India
277,Hamburg,Colombo,Refrigerated Cargo,10,Golden Wave,9300027,17.9,53.5511,9.9937,Hamburg,Colombo,Germany,Sri Lanka
278,Durban,Valencia,Container,100,Ocean Star,9300019,20.2,-29.8587,31.0218,Durban,Valencia,South Africa,Spain
279,Kolkata,Busan,Container,30,Maritime Eagle,9300026,12.0,22.5726,88.3639,Kolkata,Busan,India,South Korea
280,Santos,Sydney,Liquid Cargo,10,Blue Horizon,9300013,20.6,-23.9608,-46.3336,Santos,Sydney,Brazil,Australia
281,Hong Kong,Mumbai,Liquid Cargo,75,Neptune Star,9300020,19.1,22.3193,114.1694,Hong Kong,Mumbai,Hong Kong,India
282,Shanghai,Sydney,Bulk Cargo,40,Cargo Express,9300020,12.6,31.2304,121.4737,Shanghai,Sydney,China,Australia
283,Los Angeles,Shanghai,Container,30,Atlantic Spirit,9300019,22.3,33.7405,-118.2755,Los Angeles,Shanghai,USA,China
284,Chennai,Durban,Liquid Cargo,30,Atlantic Spirit,9300020,13.7,13.0827,80.2707,Chennai,Durban,India,South Africa
285,Busan,Dubai,Container,50,Cargo Express,9300023,24.8,35.1796,129.0756,Busan,Dubai,South Korea,UAE
286,Kolkata,Mumbai,General Cargo,20,Cargo Express,9300024,12.5,22.5726,88.3639,Kolkata,Mumbai,India,India
287,Rotterdam,Singapore,Refrigerated Cargo,75,Atlantic Spirit,9300023,24.1,51.9244,4.4777,Rotterdam,Singapore,Netherlands,Singapore
288,Valencia,Jebel Ali,Bulk Cargo,20,Pacific Pearl,9300023,12.5,39.4699,-0.3763,Valencia,Jebel Ali,Spain,UAE
289,Hong Kong,Singapore,Refrigerated Cargo,30,Atlantic Spirit,9300025,15.6,22.3193,114.1694,Hong Kong,Singapore,Hong Kong,Singapore
290,Tokyo,Jebel Ali,Refrigerated Cargo,15,Maritime Eagle,9300017,16.4,35.6762,139.6503,Tokyo,Jebel Ali,Japan,UAE
291,Jebel Ali,Hong Kong,Refrigerated Cargo,10,Neptune Star,9300020,15.5,25.0657,55.1713,Jebel Ali,Hong Kong,UAE,Hong Kong
292,Mumbai,Colombo,Liquid Cargo,15,Golden Wave,9300022,24.9,19.076,72.8777,Mumbai,Colombo,India,Sri Lanka
293,New York,Hong Kong,Bulk Cargo,25,Sea Voyager,9300015,13.0,40.7128,-74.006,New York,Hong Kong,USA,Hong Kong
294,Colombo,Sydney,Refrigerated Cargo,30,Blue Horizon,9300017,21.0,6.9271,79.8612,Colombo,Sydney,Sri Lanka,Australia
295,Singapore,Tokyo,General Cargo,25,Golden Wave,9300025,25.0,1.3521,103.8198,Singapore,Tokyo,Singapore,Japan
296,Mumbai,Sydney,General Cargo,15,Atlantic Spirit,9300022,18.7,19.076,72.8777,Mumbai,Sydney,India,Australia
297,Kolkata,Jebel Ali,Bulk Cargo,20,Ocean Star,9300018,13.6,22.5726,88.3639,Kolkata,Jebel Ali,India,UAE
298,Hong Kong,Sydney,Refrigerated Cargo,15,Golden Wave,9300028,12.4,22.3193,114.1694,Hong Kong,Sydney,Hong Kong,Australia
299,Hong Kong,Tokyo,Container,100,Cargo Express,9300027,21.9,22.3193,114.1694,Hong Kong,Tokyo,Hong Kong,Japan
300,Antwerp,Hong Kong,Container,25,Maritime Eagle,9300017,16.1,51.2194,4.4025,Antwerp,Hong Kong,Belgium,Hong Kong
301,Chennai,Shanghai,Liquid Cargo,40,Blue Horizon,9300014,18.5,13.0827,80.2707,Chennai,Shanghai,India,China
302,Chennai,New York,Liquid Cargo,20,Pacific Pearl,9300017,21.2,13.0827,80.2707,Chennai,New York,India,USA
303,New York,Antwerp,Refrigerated Cargo,10,Global Trader,9300017,13.6,40.7128,-74.006,New York,Antwerp,USA,Belgium
304,Dubai,Jebel Ali,Bulk Cargo,30,Sea Voyager,9300016,22.5,25.2048,55.2708,Dubai,Jebel Ali,UAE,UAE
305,Mumbai,Santos,Container,25,Neptune Star,9300024,15.8,19.076,72.8777,Mumbai,Santos,India,Brazil
306,Dubai,Tokyo,Container,20,Neptune Star,9300025,14.9,25.2048,55.2708,Dubai,Tokyo,UAE,Japan
307,Hamburg,Antwerp,Bulk Cargo,100,Ocean Star,9300018,16.7,53.5511,9.9937,Hamburg,Antwerp,Germany,Belgium
308,Colombo,Santos,General Cargo,10,Blue Horizon,9300021,20.0,6.9271,79.8612,Colombo,Santos,Sri Lanka,Brazil
309,New York,Sydney,Liquid Cargo,40,Cargo Express,9300027,18.8,40.7128,-74.006,New York,Sydney,USA,Australia
310,Mumbai,Dubai,Refrigerated Cargo,50,Atlantic Spirit,9300016,20.4,19.076,72.8777,Mumbai,Dubai,India,UAE
311,Antwerp,Hong Kong,Liquid Cargo,75,Blue Horizon,9300014,23.4,51.2194,4.4025,Antwerp,Hong Kong,Belgium,Hong Kong
312,Dubai,Kolkata,General Cargo,5,Maritime Eagle,9300019,18.5,25.2048,55.2708,Dubai,Kolkata,UAE,India
313,Antwerp,Kolkata,Container,30,Pacific Pearl,9300018,14.1,51.2194,4.4025,Antwerp,Kolkata,Belgium,India
314,Hong Kong,Valencia,Container,25,Pacific Pearl,9300019,23.0,22.3193,114.1694,Hong Kong,Valencia,Hong Kong,Spain
315,Valencia,Los Angeles,Liquid Cargo,100,Blue Horizon,9300018,20.1,39.4699,-0.3763,Valencia,Los Angeles,Spain,USA
316,Mumbai,Valencia,Container,100,Blue Horizon,9300019,19.7,19.076,72.8777,Mumbai,Valencia,India,Spain
317,Dubai,Hong Kong,General Cargo,5,Golden Wave,9300027,12.5,25.2048,55.2708,Dubai,Hong Kong,UAE,Hong Kong
318,Singapore,Durban,Refrigerated Cargo,100,Pacific Pearl,9300023,20.5,1.3521,103.8198,Singapore,Durban,Singapore,South Africa
319,Durban,Shanghai,Bulk Cargo,75,Cargo Express,9300027,23.6,-29.8587,31.0218,Durban,Shanghai,South Africa,China
320,New York,Antwerp,Bulk Cargo,40,Global Trader,9300014,22.5,40.7128,-74.006,New York,Antwerp,USA,Belgium
321,Colombo,Mumbai,Refrigerated Cargo,40,Ocean Star,9300012,14.1,6.9271,79.8612,Colombo,Mumbai,Sri Lanka,India
322,Colombo,Rotterdam,Bulk Cargo,30,Atlantic Spirit,9300018,19.9,6.9271,79.8612,Colombo,Rotterdam,Sri Lanka,Netherlands
323,Hong Kong,Sydney,Liquid Cargo,75,Blue Horizon,9300016,21.9,22.3193,114.1694,Hong Kong,Sydney,Hong Kong,Australia
324,Chennai,Hong Kong,Refrigerated Cargo,25,Global Trader,9300018,18.1,13.0827,80.2707,Chennai,Hong Kong,India,Hong Kong
325,Hamburg,Kolkata,Liquid Cargo,40,Sea Voyager,9300017,12.7,53.5511,9.9937,Hamburg,Kolkata,Germany,India
326,Sydney,Hamburg,Bulk Cargo,100,Blue Horizon,9300019,22.6,-33.8688,151.2093,Sydney,Hamburg,Australia,Germany
327,Rotterdam,Dubai,Refrigerated Cargo,50,Cargo Express,9300025,24.9,51.9244,4.4777,Rotterdam,Dubai,Netherlands,UAE
328,New York,Antwerp,Liquid Cargo,40,Ocean Star,9300019,13.2,40.7128,-74.006,New York,Antwerp,USA,Belgium
329,Colombo,Hamburg,General Cargo,5,Global Trader,9300023,19.6,6.9271,79.8612,Colombo,Hamburg,Sri Lanka,Germany
330,New York,Antwerp,Bulk Cargo,50,Golden Wave,9300020,23.5,40.7128,-74.006,New York,Antwerp,USA,Belgium
331,Valencia,Shanghai,Bulk Cargo,25,Sea Voyager,9300013,17.6,39.4699,-0.3763,Valencia,Shanghai,Spain,China
332,Tokyo,Hong Kong,Liquid Cargo,100,Ocean Star,9300013,17.2,35.6762,139.6503,Tokyo,Hong Kong,Japan,Hong Kong
333,Rotterdam,Tokyo,Liquid Cargo,40,Neptune Star,9300022,15.8,51.9244,4.4777,Rotterdam,Tokyo,Netherlands,Japan
334,Colombo,Santos,Liquid Cargo,100,Pacific Pearl,9300019,22.7,6.9271,79.8612,Colombo,Santos,Sri Lanka,Brazil
335,Chennai,Dubai,Liquid Cargo,30,Sea Voyager,9300017,17.1,13.0827,80.2707,Chennai,Dubai,India,UAE
336,Hong Kong,Kolkata,Liquid Cargo,40,Global Trader,9300020,19.8,22.3193,114.1694,Hong Kong,Kolkata,Hong Kong,India
337,Singapore,Mumbai,Refrigerated Cargo,30,Ocean Star,9300018,13.8,1.3521,103.8198,Singapore,Mumbai,Singapore,India
338,Antwerp,Colombo,Container,75,Blue Horizon,9300021,19.9,51.2194,4.4025,Antwerp,Colombo,Belgium,Sri Lanka
339,Busan,Hong Kong,Bulk Cargo,100,Blue Horizon,9300022,17.1,35.1796,129.0756,Busan,Hong Kong,South Korea,Hong Kong
340,Santos,Busan,Refrigerated Cargo,75,Neptune Star,9300019,22.8,-23.9608,-46.3336,Santos,Busan,Brazil,South Korea
341,Santos,New York,Bulk Cargo,30,Cargo Express,9300019,22.6,-23.9608,-46.3336,Santos,New York,Brazil,USA
342,Chennai,Colombo,Liquid Cargo,5,Golden Wave,9300022,16.0,13.0827,80.2707,Chennai,Colombo,India,Sri Lanka
343,Jebel Ali,Los Angeles,Liquid Cargo,5,Golden Wave,9300023,19.5,25.0657,55.1713,Jebel Ali,Los Angeles,UAE,USA
344,Jebel Ali,Dubai,Refrigerated Cargo,100,Neptune Star,9300023,20.2,25.0657,55.1713,Jebel Ali,Dubai,UAE,UAE
345,Kolkata,Los Angeles,Container,10,Ocean Star,9300016,19.4,22.5726,88.3639,Kolkata,Los Angeles,India,USA
346,Shanghai,Jebel Ali,Container,40,Atlantic Spirit,9300022,17.4,31.2304,121.4737,Shanghai,Jebel Ali,China,UAE
347,Sydney,Valencia,Container,5,Golden Wave,9300027,24.0,-33.8688,151.2093,Sydney,Valencia,Australia,Spain
348,Antwerp,Rotterdam,Liquid Cargo,50,Neptune Star,9300027,16.2,51.2194,4.4025,Antwerp,Rotterdam,Belgium,Netherlands
349,Tokyo,Busan,Bulk Cargo,75,Blue Horizon,9300022,18.0,35.6762,139.6503,Tokyo,Busan,Japan,South Korea
350,Valencia,Hong Kong,Container,20,Pacific Pearl,9300015,19.9,39.4699,-0.3763,Valencia,Hong Kong,Spain,Hong Kong
351,Los Angeles,Santos,Bulk Cargo,25,Pacific Pearl,9300016,14.9,33.7405,-118.2755,Los Angeles,Santos,USA,Brazil
352,Rotterdam,Antwerp,Bulk Cargo,75,Atlantic Spirit,9300018,18.2,51.9244,4.4777,Rotterdam,Antwerp,Netherlands,Belgium
353,New York,Chennai,Refrigerated Cargo,40,Golden Wave,9300023,20.8,40.7128,-74.006,New York,Chennai,USA,India
354,Hong Kong,Kolkata,Bulk Cargo,10,Pacific Pearl,9300019,12.5,22.3193,114.1694,Hong Kong,Kolkata,Hong Kong,India
355,Colombo,Los Angeles,Bulk Cargo,75,Cargo Express,9300023,14.8,6.9271,79.8612,Colombo,Los Angeles,Sri Lanka,USA
356,Valencia,Los Angeles,Container,100,Blue Horizon,9300019,13.4,39.4699,-0.3763,Valencia,Los Angeles,Spain,USA
357,Hamburg,Singapore,General Cargo,20,Neptune Star,9300026,14.9,53.5511,9.9937,Hamburg,Singapore,Germany,Singapore
358,Chennai,Colombo,Container,10,Atlantic Spirit,9300024,21.3,13.0827,80.2707,Chennai,Colombo,India,Sri Lanka
359,Shanghai,Santos,Refrigerated Cargo,50,Blue Horizon,9300022,17.3,31.2304,121.4737,Shanghai,Santos,China,Brazil
360,Rotterdam,Busan,General Cargo,5,Atlantic Spirit,9300016,15.7,51.9244,4.4777,Rotterdam,Busan,Netherlands,South Korea
361,Santos,Hamburg,Container,5,Neptune Star,9300020,21.6,-23.9608,-46.3336,Santos,Hamburg,Brazil,Germany
362,Sydney,Dubai,Refrigerated Cargo,40,Ocean Star,9300013,25.0,-33.8688,151.2093,Sydney,Dubai,Australia,UAE
363,Dubai,Busan,Liquid Cargo,100,Ocean Star,9300014,12.1,25.2048,55.2708,Dubai,Busan,UAE,South Korea
364,Chennai,Hong Kong,Liquid Cargo,75,Pacific Pearl,9300019,17.9,13.0827,80.2707,Chennai,Hong Kong,India,Hong Kong
365,Jebel Ali,Kolkata,General Cargo,20,Neptune Star,9300024,18.1,25.0657,55.1713,Jebel Ali,Kolkata,UAE,India
366,Busan,Dubai,General Cargo,15,Cargo Express,9300024,20.4,35.1796,129.0756,Busan,Dubai,South Korea,UAE
367,Busan,New York,Container,20,Golden Wave,9300027,20.8,35.1796,129.0756,Busan,New York,South Korea,USA
368,Durban,Tokyo,Refrigerated Cargo,10,Maritime Eagle,9300025,18.7,-29.8587,31.0218,Durban,Tokyo,South Africa,Japan
369,Chennai,Rotterdam,General Cargo,20,Blue Horizon,9300022,18.2,13.0827,80.2707,Chennai,Rotterdam,India,Netherlands
370,Los Angeles,Sydney,Bulk Cargo,25,Global Trader,9300014,17.8,33.7405,-118.2755,Los Angeles,Sydney,USA,Australia
371,New York,Durban,Container,30,Golden Wave,9300021,12.1,40.7128,-74.006,New York,Durban,USA,South Africa
372,Singapore,Kolkata,Liquid Cargo,40,Cargo Express,9300020,16.0,1.3521,103.8198,Singapore,Kolkata,Singapore,India
373,New York,Chennai,Container,20,Pacific Pearl,9300018,16.8,40.7128,-74.006,New York,Chennai,USA,India
374,Kolkata,Antwerp,Bulk Cargo,100,Blue Horizon,9300017,17.9,22.5726,88.3639,Kolkata,Antwerp,India,Belgium
375,Sydney,Santos,Container,20,Cargo Express,9300023,21.8,-33.8688,151.2093,Sydney,Santos,Australia,Brazil
376,Durban,Mumbai,General Cargo,30,Neptune Star,9300025,17.8,-29.8587,31.0218,Durban,Mumbai,South Africa,India
377,Santos,Chennai,Container,75,Ocean Star,9300018,22.8,-23.9608,-46.3336,Santos,Chennai,Brazil,India
378,Santos,Valencia,Refrigerated Cargo,75,Blue Horizon,9300021,14.1,-23.9608,-46.3336,Santos,Valencia,Brazil,Spain
379,Chennai,Hamburg,Refrigerated Cargo,75,Golden Wave,9300029,18.4,13.0827,80.2707,Chennai,Hamburg,India,Germany
380,Singapore,Jebel Ali,Liquid Cargo,50,Blue Horizon,9300013,18.7,1.3521,103.8198,Singapore,Jebel Ali,Singapore,UAE
381,Singapore,Santos,General Cargo,25,Cargo Express,9300019,20.7,1.3521,103.8198,Singapore,Santos,Singapore,Brazil
382,Tokyo,Los Angeles,General Cargo,100,Ocean Star,9300013,21.7,35.6762,139.6503,Tokyo,Los Angeles,Japan,USA
383,Singapore,Colombo,General Cargo,75,Atlantic Spirit,9300019,21.1,1.3521,103.8198,Singapore,Colombo,Singapore,Sri Lanka
384,Mumbai,Antwerp,Container,15,Ocean Star,9300015,15.7,19.076,72.8777,Mumbai,Antwerp,India,Belgium
385,Sydney,Hong Kong,Refrigerated Cargo,40,Maritime Eagle,9300022,17.8,-33.8688,151.2093,Sydney,Hong Kong,Australia,Hong Kong
386,Mumbai,Santos,General Cargo,30,Blue Horizon,9300019,20.5,19.076,72.8777,Mumbai,Santos,India,Brazil
387,Dubai,Santos,General Cargo,20,Maritime Eagle,9300024,18.9,25.2048,55.2708,Dubai,Santos,UAE,Brazil
388,Shanghai,Busan,Refrigerated Cargo,75,Cargo Express,9300026,20.8,31.2304,121.4737,Shanghai,Busan,China,South Korea
389,Valencia,Tokyo,Container,30,Global Trader,9300023,15.2,39.4699,-0.3763,Valencia,Tokyo,Spain,Japan
390,Los Angeles,Rotterdam,Liquid Cargo,40,Sea Voyager,9300012,12.4,33.7405,-118.2755,Los Angeles,Rotterdam,USA,Netherlands
391,Shanghai,Los Angeles,General Cargo,100,Global Trader,9300015,12.9,31.2304,121.4737,Shanghai,Los Angeles,China,USA
392,Colombo,Singapore,Refrigerated Cargo,40,Global Trader,9300016,21.6,6.9271,79.8612,Colombo,Singapore,Sri Lanka,Singapore
393,Hamburg,Santos,Container,5,Global Trader,9300017,21.8,53.5511,9.9937,Hamburg,Santos,Germany,Brazil
394,Antwerp,New York,Bulk Cargo,100,Global Trader,9300018,22.6,51.2194,4.4025,Antwerp,New York,Belgium,USA
395,Santos,Busan,Liquid Cargo,15,Global Trader,9300019,15.9,-23.9608,-46.3336,Santos,Busan,Brazil,South Korea
396,Hamburg,Colombo,Liquid Cargo,75,Pacific Pearl,9300021,15.6,53.5511,9.9937,Hamburg,Colombo,Germany,Sri Lanka
397,Dubai,Colombo,Refrigerated Cargo,30,Neptune Star,9300026,18.4,25.2048,55.2708,Dubai,Colombo,UAE,Sri Lanka
398,Antwerp,Busan,Refrigerated Cargo,25,Maritime Eagle,9300025,17.3,51.2194,4.4025,Antwerp,Busan,Belgium,South Korea
399,Dubai,Santos,Bulk Cargo,20,Cargo Express,9300027,15.1,25.2048,55.2708,Dubai,Santos,UAE,Brazil
400,Kolkata,Jebel Ali,Liquid Cargo,40,Ocean Star,9300011,19.3,22.5726,88.3639,Kolkata,Jebel Ali,India,UAE
401,Antwerp,Kolkata,Bulk Cargo,20,Maritime Eagle,9300018,15.2,51.2194,4.4025,Antwerp,Kolkata,Belgium,India
402,Mumbai,Jebel Ali,General Cargo,20,Atlantic Spirit,9300018,13.2,19.076,72.8777,Mumbai,Jebel Ali,India,UAE
403,Los Angeles,Sydney,Container,10,Golden Wave,9300023,19.8,33.7405,-118.2755,Los Angeles,Sydney,USA,Australia
404,Santos,Valencia,Bulk Cargo,30,Global Trader,9300018,18.2,-23.9608,-46.3336,Santos,Valencia,Brazil,Spain
405,Shanghai,Hamburg,Refrigerated Cargo,10,Global Trader,9300019,24.5,31.2304,121.4737,Shanghai,Hamburg,China,Germany
406,Hamburg,Rotterdam,Bulk Cargo,75,Maritime Eagle,9300023,23.9,53.5511,9.9937,Hamburg,Rotterdam,Germany,Netherlands
407,New York,Sydney,Bulk Cargo,30,Cargo Express,9300025,18.9,40.7128,-74.006,New York,Sydney,USA,Australia
408,Los Angeles,Tokyo,General Cargo,50,Neptune Star,9300027,23.5,33.7405,-118.2755,Los Angeles,Tokyo,USA,Japan
409,Jebel Ali,Busan,General Cargo,40,Global Trader,9300023,16.8,25.0657,55.1713,Jebel Ali,Busan,UAE,South Korea
