pricing_id,route_id,fuel_surcharge_usd,port_charge_usd,demand_factor,risk_surcharge_usd,target_margin_percent
P818,818,100,70,0.95,50,15
P819,819,85,60,1.10,40,15
P820,820,90,65,1.05,45,15
P821,821,100,75,1.00,50,15
P822,822,110,80,0.95,60,15
P823,823,105,70,1.05,55,15
P824,824,100,80,1.00,50,15
P825,825,95,70,1.00,45,15
P826,826,105,75,0.95,55,15
P827,827,90,65,1.05,45,15
P828,828,100,70,0.95,50,15
P829,829,85,60,1.10,40,15
P830,830,90,65,1.05,45,15
P831,831,100,75,1.00,50,15
P832,832,110,80,0.95,60,15
P833,833,105,70,1.05,55,15
P834,834,100,80,1.00,50,15
P835,835,95,70,1.00,45,15
P836,836,105,75,0.95,55,15
P837,837,90,65,1.05,45,15
P838,838,100,70,0.95,50,15
P839,839,85,60,1.10,40,15
P840,840,90,65,1.05,45,15
P841,841,100,75,1.00,50,15
P842,842,110,80,0.95,60,15
P843,843,105,70,1.05,55,15
P844,844,100,80,1.00,50,15
P845,845,95,70,1.00,45,15
P846,846,105,75,0.95,55,15
P847,847,90,65,1.05,45,15
P848,848,100,70,0.95,50,15
P849,849,85,60,1.10,40,15
P850,850,90,65,1.05,45,15
P851,851,100,75,1.00,50,15
P852,852,110,80,0.95,60,15
P853,853,105,70,1.05,55,15
P854,854,100,80,1.00,50,15
P855,855,95,70,1.00,45,15
P856,856,105,75,0.95,55,15
P857,857,90,65,1.05,45,15
P858,858,100,70,0.95,50,15
P859,859,85,60,1.10,40,15
P860,860,90,65,1.05,45,15
P861,861,100,75,1.00,50,15
P862,862,110,80,0.95,60,15
P863,863,105,70,1.05,55,15
P864,864,100,80,1.00,50,15
P865,865,95,70,1.00,45,15
P866,866,105,75,0.95,55,15
P867,867,90,65,1.05,45,15
P868,868,100,70,0.95,50,15
P869,869,85,60,1.10,40,15
P870,870,90,65,1.05,45,15
P871,871,100,75,1.00,50,15
P872,872,110,80,0.95,60,15
P873,873,105,70,1.05,55,15
P874,874,100,80,1.00,50,15
P875,875,95,70,1.00,45,15
P876,876,105,75,0.95,55,15
P877,877,90,65,1.05,45,15
P878,878,100,70,0.95,50,15
P879,879,85,60,1.10,40,15
P880,880,90,65,1.05,45,15
P881,881,100,75,1.00,50,15
P882,882,110,80,0.95,60,15
P883,883,105,70,1.05,55,15
P884,884,100,80,1.00,50,15
P885,885,95,70,1.00,45,15
P886,886,105,75,0.95,55,15
P887,887,90,65,1.05,45,15
P888,888,100,70,0.95,50,15
P889,889,85,60,1.10,40,15
P890,890,90,65,1.05,45,15
P891,891,100,75,1.00,50,15
P892,892,110,80,0.95,60,15
P893,893,105,70,1.05,55,15
P894,894,100,80,1.00,50,15
P895,895,95,70,1.00,45,15
P896,896,105,75,0.95,55,15
P897,897,90,65,1.05,45,15
P898,898,100,70,0.95,50,15
P899,899,85,60,1.10,40,15
P900,900,90,65,1.05,45,15
